clan,zone,stewards,walked_km,separate_ha,joined_ha,change_ha,neighbours,alongside,map
Manuvoora,Zone 6,2,61.45,2066.1,827.7,-1238.3,0,Pina Ora,Manuvoora_Zone_6.png
Natang,Zone 7B,2,77.25,2354.8,1532.8,-821.9,3,"Ambunkol, Sugulkol, Wohukol",Natang_Zone_7B.png
Darekikol,Zone 7A,2,28.76,1226.6,587.5,-639.1,3,Borori,Darekikol_Zone_7A.png
Gubai,Zone 8,2,134.54,1666.6,1173.2,-493.4,1,Dusi,Gubai_Zone_8.png
Sukandi,Zone 2,2,39.69,2367.9,1900.9,-467.0,5,"Juaiko, Rondi, Rumbi",Sukandi_Zone_2.png
Riribudeh,Zone 8,2,20.37,770.3,371.8,-398.5,2,"Dusi, Gumuyude",Riribudeh_Zone_8.png
Sugulkol,Zone 7B,2,23.99,630.4,313.8,-316.5,8,"Ambunkol, Murai (Z7B), Natang, Wohukol",Sugulkol_Zone_7B.png
Giroiko,Zone 3,2,5.43,78.3,9.5,-68.8,0,,Giroiko_Zone_3.png
Borori,Zone 7A,2,32.69,676.7,638.7,-38.0,3,"Darekikol, Mariura",Borori_Zone_7A.png
Ginangi,Zone 7B,2,36.73,1235.9,1234.3,-1.6,4,,Ginangi_Zone_7B.png
Bimkol,Zone 7A,1,8.01,158.4,158.4,0.0,1,Darekikol,Bimkol_Zone_7A.png
Asoro,Zone 2,1,22.83,3506.7,3506.7,0.0,2,,Asoro_Zone_2.png
Bujevi,Zone 2,1,5.76,0.0,0.0,0.0,0,Nituri,Bujevi_Zone_2.png
Binunkol,Zone 7B,1,17.81,1032.3,1032.3,0.0,6,"Jariji, Marang, Rondi, Sugulkol, Sukandi",Binunkol_Zone_7B.png
Asingi,Zone 2,1,6.43,166.1,166.1,0.0,3,"Gariniko, Kasaki, Murai (Z2), Nituri",Asingi_Zone_2.png
Abuankol,Zone 7B,1,0.51,0.7,0.7,0.0,4,"Ambunkol, Murai (Z7B), Sugulkol",Abuankol_Zone_7B.png
Gariniko,Zone 2,1,10.08,106.5,106.5,0.0,5,"Asingi, Kasaki, Murai (Z2), Nituri, Tuoko",Gariniko_Zone_2.png
Gumuri,Zone 3,2,6.79,0.0,0.0,0.0,0,Rondi,Gumuri_Zone_3.png
Juaiko,Zone 2,1,24.3,1292.9,1292.9,0.0,3,"Manoko, Rumbi, Sukandi, Zambiko",Juaiko_Zone_2.png
Gumuyude,Zone 8,1,16.79,691.3,691.3,0.0,2,"Mungaikol, Riribudeh, Uremkol",Gumuyude_Zone_8.png
Majanko,Zone 2,1,7.51,275.8,275.8,0.0,3,"Kasaki, Manoko",Majanko_Zone_2.png
Madukol,Zone 8,1,1.07,1.4,1.4,0.0,0,,Madukol_Zone_8.png
Manang,Zone 7B,1,7.13,353.0,353.0,0.0,2,"Ginangi, Marang, Murai (Z7B), Sugulkol",Manang_Zone_7B.png
Kasaki,Zone 2,1,15.13,540.8,540.8,0.0,6,"Gariniko, Majanko, Murai (Z2), Nituri, Tuoko",Kasaki_Zone_2.png
Mungaikol,Zone 8,1,14.75,569.7,569.7,0.0,2,"Gumuyude, Uremkol",Mungaikol_Zone_8.png
Manoko,Zone 2,1,12.15,404.0,404.0,0.0,2,"Juaiko, Majanko, Rumbi, Zambiko",Manoko_Zone_2.png
Marang,Zone 7B,1,8.27,0.0,0.0,0.0,0,"Binunkol, Manang, Marijabimkol, Murai (Z7B)",Marang_Zone_7B.png
Marijabimkol,Zone 7B,1,10.97,0.0,0.0,0.0,0,"Marang, Murai (Z7B)",Marijabimkol_Zone_7B.png
Dusi,Zone 8,1,32.95,218.6,218.6,0.0,2,"Gubai, Riribudeh",Dusi_Zone_8.png
Duribip,Zone 8,1,4.46,0.0,0.0,0.0,0,,Duribip_Zone_8.png
Deari,Zone 3,2,13.09,0.0,0.0,0.0,0,Nui,Deari_Zone_3.png
Ambunkol,Zone 7B,1,18.6,591.8,591.8,0.0,5,"Murai (Z7B), Natang, Sugulkol, Wohukol",Ambunkol_Zone_7B.png
Zambiko,Zone 2,1,5.67,0.0,0.0,0.0,0,"Gariniko, Juaiko, Majanko, Manoko, Nituri",Zambiko_Zone_2.png
Uremkol,Zone 8,1,11.2,0.0,0.0,0.0,0,"Gumuyude, Mungaikol",Uremkol_Zone_8.png
